0,1,2,3
10,9,17,12
9,12,24,14
17,9,8,13
17,9,3,15
17,7,23,10
9,14,17,15
2,8,8,14
23,11,10,11
1,8,3,9
16,16,28,16
15,9,9,16
2,9,1,15
22,7,12,12
16,11,19,20
1,12,4,14
16,12,19,13
4,10,10,10
15,11,17,12
28,9,19,11
9,12,3,14
15,11,17,12
28,11,2,12
18,12,28,14
28,7,9,12
15,6,17,9
19,9,10,20
1,7,3,9
3,6,28,6
9,9,18,14
8,1,11,6
11,9,4,9
15,11,16,16
19,18,16,18
8,12,19,18
23,4,17,4
28,9,24,14
3,10,1,15
15,13,23,14
9,9,1,15
28,19,3,20
8,11,13,20
27,12,17,15
8,3,28,4
12,12,3,18
7,8,20,12
14,11,9,20
14,13,28,21
15,13,28,13
10,16,15,16
19,7,2,13
15,7,2,8
12,10,3,10
8,8,19,10
1,20,3,1
28,9,15,16
10,10,7,15
17,8,28,9
4,9,22,12
18,14,15,16
23,8,8,17
19,9,13,11
1,3,4,9
17,6,9,8
18,18,11,19
3,12,9,12
18,10,8,12
23,5,2,5
9,5,19,5
15,14,9,14
19,15,16,16
8,10,9,11
19,12,9,13
9,11,23,11
19,15,17,15
27,12,14,14
19,15,16,15
28,14,18,15
27,13,19,15
18,12,28,13
8,13,18,13
28,13,4,13
3,11,24,13
8,11,15,12
1,13,23,14
28,9,24,13
28,12,1,12
19,7,15,7
8,12,9,19
24,13,4,15
15,12,4,13
15,14,9,15
4,12,9,18
3,13,11,18
27,12,16,14
18,8,16,10
19,5,12,9
1,22,28,22
28,7,3,19
9,9,28,11
28,9,9,10
10,4,23,10
8,13,27,13
19,8,27,21
23,11,3,13
2,11,17,16
10,22,23,22
10,9,9,16
27,21,9,23
28,12,17,15
28,12,3,15
18,10,8,10
4,14,1,16
22,12,15,16
13,12,8,16
11,10,15,19
15,8,17,9
13,9,8,9
13,4,28,9
3,9,9,13
3,14,19,16
13,9,16,13
1,7,3,7
18,16,28,16
4,14,15,16
28,9,8,16
9,11,1,17
24,3,1,6
19,11,1,20
9,8,15,17
19,22,18,22
1,22,23,22
1,8,2,14
17,10,19,13
11,6,3,9
28,12,9,12
8,21,1,21
19,6,9,8
19,18,8,18
11,8,19,8
8,6,11,6
9,9,24,10
9,5,19,18
16,10,4,13
18,5,8,11
1,22,11,4
10,8,9,13
1,23,19,4
9,7,8,8
8,5,13,6
2,15,23,15
18,20,24,23
1,17,18,23
15,14,12,15
15,11,17,14
9,16,15,17
9,14,17,15
3,11,15,13
18,10,3,12
16,7,20,12
18,7,9,12
8,9,18,10
27,11,15,12
27,8,15,12
17,7,28,11
28,12,27,14
8,20,4,20
20,5,22,10
3,3,10,6
27,18,9,19
18,13,3,13
9,9,10,13
28,11,19,13
9,7,18,13
9,5,15,14
18,10,28,11
9,11,3,14
3,11,15,13
19,10,8,10
11,19,9,21
9,12,2,13
3,6,11,12
19,10,24,12
19,8,1,9
4,10,19,11
3,16,27,1
28,17,13,18
8,3,28,6
9,11,22,12
28,7,8,12
10,9,3,11
1,12,8,16
8,10,24,12
19,9,15,15
1,11,3,12
23,7,3,11
3,8,28,20
28,12,8,12
27,11,23,14
3,6,19,13
9,8,1,9
9,15,20,19
1,9,16,19
2,9,10,14
16,12,17,16
4,9,8,13
15,8,8,12
9,11,3,19
23,7,11,17
17,10,1,11
8,8,27,13
4,11,17,18
23,9,28,15
17,15,4,15
2,8,17,15
28,14,16,15
15,15,27,16
13,10,27,17
8,3,4,9
23,8,2,14
18,22,3,22
1,9,18,19
4,6,1,14
1,7,15,16
15,8,9,8
3,7,12,12
9,4,20,11
9,10,28,11
18,6,15,13
17,9,28,13
4,17,9,17
9,12,15,12
1,22,28,22
15,7,9,13
28,8,8,11
7,8,3,10
23,7,12,14
12,9,15,12
12,12,3,15
23,11,10,13
28,8,18,13
4,9,16,14
1,2,17,10
28,8,9,13
8,8,27,13
18,13,3,15
19,6,8,10
9,11,7,14
8,8,16,9
1,5,24,10
18,5,7,8
3,18,8,18
8,2,9,4
18,8,23,8
9,3,19,5
8,13,4,15
23,8,9,8
9,12,1,15
28,12,8,17
9,9,1,9
3,12,16,12
19,0,22,4
28,3,18,5
28,4,27,6
9,13,28,15
15,9,3,9
15,7,17,10
10,17,27,19
2,8,10,9
15,7,19,10
19,7,17,14
28,6,8,13
1,12,19,13
8,22,28,1
28,15,3,21
