0,1,2,3
19,13,2,17
12,9,2,13
2,11,15,13
2,6,24,14
26,11,12,12
10,10,26,18
2,7,13,12
8,10,14,11
11,14,1,15
18,6,26,8
11,6,2,13
26,12,15,16
1,9,20,11
12,2,15,6
8,13,2,15
1,17,2,21
2,21,20,21
15,21,24,21
16,22,25,22
14,21,24,21
1,13,2,13
24,11,2,18
12,2,19,9
20,5,10,12
20,9,15,14
1,5,11,13
23,13,11,16
10,8,24,14
26,9,19,10
19,11,11,12
2,9,10,9
20,13,2,16
2,10,1,11
2,9,19,12
20,11,15,11
20,2,2,3
2,8,21,10
1,22,2,22
15,11,12,15
1,15,5,16
12,10,26,14
1,3,26,3
1,7,8,8
27,5,11,5
9,10,24,10
14,10,23,15
9,13,23,16
2,7,1,8
23,10,2,18
14,13,18,15
20,10,14,13
27,11,2,14
9,9,24,11
24,9,19,13
10,1,8,6
15,8,20,9
1,10,2,13
24,0,8,2
12,4,24,9
1,21,19,21
2,8,20,12
2,10,24,11
10,16,26,18
12,8,11,15
10,8,2,10
2,14,9,16
15,9,20,11
11,4,2,5
19,14,1,15
8,10,14,12
8,11,1,20
1,5,5,16
9,9,20,12
2,10,11,16
20,13,19,20
2,10,26,15
15,8,11,11
12,12,10,14
18,14,24,16
7,15,15,16
14,21,11,21
19,13,2,15
19,14,15,14
20,8,10,10
10,8,9,17
1,4,12,6
1,15,19,17
19,11,15,12
20,13,2,17
1,13,10,17
1,10,2,10
24,14,19,17
12,11,26,16
2,15,12,17
20,13,2,14
15,9,19,13
15,9,19,13
2,7,20,8
9,13,2,0
9,9,14,9
2,8,12,9
2,10,20,11
24,11,2,13
20,11,2,18
15,9,1,13
14,9,8,10
15,8,2,9
25,8,24,13
2,7,12,8
15,12,1,14
24,17,26,18
12,13,20,14
