0,1,2,3
6,8,26,14
27,21,21,0
21,12,20,12
3,10,26,12
20,6,29,9
3,21,29,1
15,7,21,13
26,9,10,12
6,14,21,15
6,11,27,13
15,23,29,23
29,11,7,13
15,9,29,14
21,8,15,9
7,16,21,19
15,7,7,9
20,14,10,14
29,18,5,19
29,9,22,14
22,3,15,3
15,15,26,21
16,14,13,18
27,8,20,14
15,16,22,23
15,23,22,0
24,6,14,8
21,13,15,15
6,11,7,12
21,8,27,19
22,21,15,21
20,18,23,19
6,14,1,17
21,14,22,14
21,5,24,7
22,7,29,13
12,9,28,14
21,14,20,16
6,6,7,9
3,7,21,8
6,17,29,19
6,6,22,8
20,18,1,20
6,10,22,13
22,23,27,2
6,15,22,18
20,14,21,14
27,8,29,16
29,15,5,17
29,10,6,11
27,10,20,10
21,15,29,16
6,15,29,16
6,16,21,21
6,10,27,10
27,0,21,3
27,9,20,9
29,6,6,14
6,10,27,18
7,6,22,15
29,6,22,9
22,10,29,10
22,9,21,10
6,10,29,15
22,12,27,16
22,10,29,19
1,6,6,14
7,11,6,16
27,15,20,16
6,11,20,16
6,11,29,16
20,11,29,16
22,11,29,16
7,11,15,15
21,1,29,3
6,10,10,16
28,10,20,17
29,13,20,18
20,15,29,16
28,14,20,18
6,13,22,19
20,15,27,15
29,15,22,16
29,15,20,16
27,14,3,15
6,23,28,2
23,12,27,19
23,9,27,17
22,15,6,17
24,13,28,13
15,17,6,17
6,11,15,13
15,6,7,10
10,6,29,11
4,7,21,12
6,12,27,19
15,7,12,13
10,20,20,22
9,20,21,23
22,22,27,23
1,2,23,4
5,6,25,14
28,8,22,10
15,22,18,22
29,8,10,12
24,12,23,13
20,14,23,19
20,20,27,7
7,16,4,17
22,17,4,18
22,7,1,10
10,18,5,20
15,7,20,17
27,21,6,0
7,10,15,11
21,15,7,15
27,12,22,13
15,9,20,13
7,12,1,17
15,9,12,13
14,16,1,19
29,10,20,11
20,12,29,16
29,9,27,14
15,8,21,10
28,15,15,17
5,8,22,12
7,10,15,11
15,17,6,17
20,12,27,13
27,19,26,22
27,13,20,19
6,11,15,14
23,14,29,16
22,13,24,14
27,1,26,1
27,14,24,16
19,3,23,10
29,12,20,18
21,8,10,9
18,13,20,14
21,10,29,11
6,6,29,15
21,13,22,14
22,10,21,11
21,12,1,15
7,8,28,11
29,9,4,14
20,14,21,14
2,12,13,15
7,12,6,13
16,9,13,15
16,14,10,20
10,18,21,21
7,6,12,10
6,9,22,13
6,9,28,13
29,12,15,17
21,8,6,8
21,6,5,15
22,22,20,22
5,9,21,11
21,14,15,17
6,6,5,13
29,14,4,17
23,12,20,14
22,13,21,14
22,8,21,20
20,14,21,16
6,5,21,7
15,12,5,21
10,12,22,15
20,16,1,21
1,15,6,16
23,11,20,14
22,8,20,10
20,10,15,16
23,9,15,10
21,14,5,15
6,19,15,19
2,14,16,15
21,14,20,15
21,9,20,14
20,17,27,19
29,12,6,12
24,14,6,16
22,9,21,10
22,12,20,13
10,11,6,13
20,15,24,16
27,8,4,10
23,8,6,9
20,9,6,10
6,8,22,10
27,21,22,21
5,12,4,16
15,7,20,13
5,12,27,13
20,9,4,10
27,11,5,12
22,7,3,15
22,6,20,16
22,11,27,12
21,19,29,23
29,9,6,11
27,12,20,15
28,16,20,18
7,8,15,12
21,7,3,19
7,4,21,16
7,5,21,18
15,10,24,20
20,15,21,17
15,13,27,17
26,8,29,13
29,3,21,8
20,17,4,18
20,7,10,11
6,7,5,8
24,12,29,15
7,16,1,21
20,17,3,21
27,1,21,1
7,12,6,17
29,10,21,14
29,14,20,15
4,19,1,19
22,5,15,6
21,13,4,16
12,8,15,13
7,11,29,13
5,16,21,19
21,9,4,13
6,8,24,12
21,14,20,14
27,9,15,10
2,11,13,13
22,17,28,17
4,7,7,10
6,9,15,12
21,17,27,17
21,8,15,11
15,6,27,9
15,10,4,11
4,11,7,11
21,14,29,20
10,7,2,15
28,8,29,12
26,20,22,23
15,13,28,16
23,10,7,11
15,11,24,14
20,9,27,12
26,7,7,11
22,20,20,21
20,11,22,16
20,8,29,10
24,8,27,11
21,8,20,9
22,19,20,1
21,12,10,14
20,19,26,2
15,13,5,15
5,9,10,13
1,15,27,15
21,8,27,9
20,10,18,20
27,11,20,12
10,7,14,9
29,2,7,4
5,17,10,19
22,15,29,21
15,6,7,12
29,20,20,21
21,12,15,13
21,15,20,16
3,10,24,12
4,9,16,15
6,17,28,2
20,12,3,13
3,12,22,13
3,12,21,12
29,10,15,11
20,12,1,18
5,19,6,1
20,16,22,17
3,17,21,18
5,20,20,21
28,12,26,18
20,14,5,17
21,14,10,21
27,11,20,15
2,10,13,15
6,20,29,3
21,9,3,19
23,8,18,11
22,7,20,12
21,10,27,20
21,11,20,12
6,11,15,16
29,9,22,12
12,12,15,18
6,10,29,10
6,8,7,9
29,5,15,19
29,9,6,17
5,8,7,14
27,12,6,14
3,15,5,18
21,7,15,17
6,12,15,19
21,14,22,14
22,12,15,16
10,12,6,20
5,19,27,23
21,9,7,13
27,18,22,19
13,11,16,17
24,11,20,14
20,13,27,14
6,7,10,10
6,6,7,15
2,13,16,16
27,10,15,16
22,7,23,10
1,7,4,9
21,21,20,22
24,23,7,2
27,15,29,16
20,14,27,16
10,9,14,15
15,14,28,16
10,15,20,20
21,14,20,16
27,16,20,17
22,16,3,22
